TID,SDate,TName,SStationID,AStationID,STime,ATime
60,2020-01-30,C5001               ,1599,1621,2020-01-30 07:09:00,2020-01-30 08:46:00
61,2020-01-31,C5001               ,1599,1621,2020-01-31 07:09:00,2020-01-31 08:46:00
62,2020-02-01,C5001               ,1599,1621,2020-02-01 07:09:00,2020-02-01 08:46:00
63,2020-02-02,C5001               ,1599,1621,2020-02-02 07:09:00,2020-02-02 08:46:00
64,2020-02-03,C5001               ,1599,1621,2020-02-03 07:09:00,2020-02-03 08:46:00
65,2020-02-04,C5001               ,1599,1621,2020-02-04 07:09:00,2020-02-04 08:46:00
66,2020-02-05,C5001               ,1599,1621,2020-02-05 07:09:00,2020-02-05 08:46:00
67,2020-02-06,C5001               ,1599,1621,2020-02-06 07:09:00,2020-02-06 08:46:00
68,2020-02-07,C5001               ,1599,1621,2020-02-07 07:09:00,2020-02-07 08:46:00
69,2020-02-08,C5001               ,1599,1621,2020-02-08 07:09:00,2020-02-08 08:46:00
70,2020-02-09,C5001               ,1599,1621,2020-02-09 07:09:00,2020-02-09 08:46:00
71,2020-02-10,C5001               ,1599,1621,2020-02-10 07:09:00,2020-02-10 08:46:00
72,2020-02-11,C5001               ,1599,1621,2020-02-11 07:09:00,2020-02-11 08:46:00
73,2020-02-12,C5001               ,1599,1621,2020-02-12 07:09:00,2020-02-12 08:46:00
74,2020-02-13,C5001               ,1599,1621,2020-02-13 07:09:00,2020-02-13 08:46:00
75,2020-02-14,C5001               ,1599,1621,2020-02-14 07:09:00,2020-02-14 08:46:00
76,2020-02-15,C5001               ,1599,1621,2020-02-15 07:09:00,2020-02-15 08:46:00
77,2020-02-16,C5001               ,1599,1621,2020-02-16 07:09:00,2020-02-16 08:46:00
78,2020-02-17,C5001               ,1599,1621,2020-02-17 07:09:00,2020-02-17 08:46:00
79,2020-02-18,C5001               ,1599,1621,2020-02-18 07:09:00,2020-02-18 08:46:00
80,2020-02-19,C5001               ,1599,1621,2020-02-19 07:09:00,2020-02-19 08:46:00
81,2020-02-20,C5001               ,1599,1621,2020-02-20 07:09:00,2020-02-20 08:46:00
